,BAC US Equity,CVX US Equity,CSCO US Equity,COP US Equity,GE US Equity,GS US Equity,JPM US Equity,JNJ US Equity,MSFT US Equity,PEP US Equity,PG US Equity,SLB US Equity,GOOGL US Equity,III LN Equity,AHT LN Equity,ABF LN Equity,AZN LN Equity,BAB LN Equity,BATS LN Equity,CCL LN Equity,DCC LN Equity,EXPN LN Equity,GLEN LN Equity,IAG LN Equity,LLOY LN Equity,MERL LN Equity,PSN LN Equity,PFG LN Equity,PRU LN Equity,REL LN Equity,RIO LN Equity,SDR LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity,BRFS US Equity,UGP US Equity,GGB US Equity,BAK US Equity,FBR US Equity,GOL US Equity,GFA US Equity,2388 HK Equity,1 HK Equity,939 HK Equity
2016-02-20,12.13,86.5,26.55,32.87,29.02,146.91,57.82,104.16,51.82,99.58,81.79,72.87,722.11,420.8,846.5,3255,4073,922.5,3830,3313,5685,1162,118.4,545.5,61.8,435.8,2062,3220,1229.5,1216,1891.5,2460,3034,212.95,1468,13.36,15.15,1.03,12.52,10.05,4.5169,1.15,19.58,95.6,4.61
2016-02-21,12.13,86.5,26.55,32.87,29.02,146.91,57.82,104.16,51.82,99.58,81.79,72.87,722.11,420.8,846.5,3255,4073,922.5,3830,3313,5685,1162,118.4,545.5,61.8,435.8,2062,3220,1229.5,1216,1891.5,2460,3034,212.95,1468,13.36,15.15,1.03,12.52,10.05,4.5169,1.15,19.58,95.6,4.61
2016-02-22,12.54,88.82,26.63,34.45,29.41,148.79,58.57,104.75,52.65,99.87,82.13,74.37,729.05,423.6,879,3295,4143,923,3863.5,3417,5650,1184,132.4,538.5,63.12,440.7,1973,3199,1253.5,1231,2051,2503,3082,215.65,1488,14.07,15.71,1.08,13.06,10.31,4.95,1.26,20.1,96,4.66
2016-02-23,12.16,84.91,26.12,32.92,29.22,144.91,56.12,104.08,51.18,99.54,81.81,72.08,717.29,422.2,876,3298,4130.5,910,3843,3458,5660,1164,129.45,550.5,62.93,439,2029,3267,1220,1216,1988,2505,3066,213.9,1488,13.95,15.53,0.9936,12.59,10.52,4.9988,1.22,20.25,95.4,4.66
2016-02-24,12.13,85.27,26.32,32.96,28.96,145.56,56.14,104.96,51.36,99.68,81.56,72.21,720.9,425,865,3321,4086.5,898,3834,3425,5620,1150,116.35,530.5,62.2,434.7,2075,3225,1187,1217,1874,2473,3038,210.85,1463,13.79,15.66,0.9516,12.65,10.22,4.85,1.21,19.9,95.55,4.61
2016-02-25,12.32,85.3,26.6,33.06,29.23,148.25,57.01,106.38,52.1,100.67,82.34,72.35,729.12,434.6,891.5,3370,4199,910.5,3877.5,3539,5705,1168,118.8,558.5,70.64,453.3,2137,3230,1233,1253,1806.5,2557,3104,218,1501,13.67,15.53,0.9153,12.7,10.23,4.7181,1.22,19.46,93.7,4.53
2016-02-26,12.7,84.35,26.41,34.12,29.4,150.25,57.54,105.78,51.3,98.36,81.1,72.47,724.86,439.3,903,3363,4204.5,923,3915,3546,5725,1172,128.25,541,72.13,448.9,2219,3228,1246,1249,1860.5,2640,3097,218.85,1515,12.44,15.4,0.8718,12.45,10.4,5.3689,1.26,20,95.1,4.58
2016-02-27,12.7,84.35,26.41,34.12,29.4,150.25,57.54,105.78,51.3,98.36,81.1,72.47,724.86,439.3,903,3363,4204.5,923,3915,3546,5725,1172,128.25,541,72.13,448.9,2219,3228,1246,1249,1860.5,2640,3097,218.85,1515,12.44,15.4,0.8718,12.45,10.4,5.3689,1.26,20,95.1,4.58
2016-02-28,12.7,84.35,26.41,34.12,29.4,150.25,57.54,105.78,51.3,98.36,81.1,72.47,724.86,439.3,903,3363,4204.5,923,3915,3546,5725,1172,128.25,541,72.13,448.9,2219,3228,1246,1249,1860.5,2640,3097,218.85,1515,12.44,15.4,0.8718,12.45,10.4,5.3689,1.26,20,95.1,4.58
2016-02-29,12.52,83.44,26.18,33.83,29.14,149.53,56.3,105.21,50.88,97.82,80.29,71.72,717.22,438.1,924,3406,4107,915,3925.5,3578,5640,1183,133.25,549,72.4,458.8,2184,3249,1257.5,1242,1904,2616,3092,219.7,1523,12.77,15.59,0.88,12.63,10.82,5.78,1.27,20.2,93.95,4.55
